Planet Name,Stellar Magnitude,Discovery Date,Planet Type,Discovery Method,Orbital Radius,Eccentricity,Planet Mass (Jupiter),Planet Radius (Jupiter),Distance (light-years),Orbital Period (Years)
HD 107148 c,8.01,2021,Neptune-like,Radial Velocity,0.1407,0.34,0.06260560100692258,0.42,161.171944336,0.05010266940451746
TOI-220 b,10.466,2021,Neptune-like,Transit,0.08911,0.03,0.0434235368156073,0.27,295.954606712,0.029295003422313483
TOI-1444 b,10.936,2021,Super Earth,Transit,0.0116,0.0,0.011264946507237255,0.12660714285714286,409.20510227999995,0.0013689253935660506
TOI-1231 b,12.36,2021,Neptune-like,Transit,0.1288,0.09,0.048458149779735685,0.326,90.09309341199999,0.06625598904859685
HD 331093 b,8.38,2021,Gas Giant,Radial Velocity,1.44,0.59,1.5,1.21,163.70682876799998,1.7
HD 155193 b,7.0092,2021,Gas Giant,Radial Velocity,1.04,0.21,0.75,1.25,188.51653722,0.9656399726214921
HD 124330 b,7.88,2021,Gas Giant,Radial Velocity,0.86,0.34,0.75,1.25,196.33841041199997,0.7411362080766598
BD+63 1405 b,8.96,2021,Gas Giant,Radial Velocity,2.06,0.88,10.4,1.11,124.09355178799998,3.3
BD+55 362 b,9.38,2021,Gas Giant,Radial Velocity,0.78,0.27,0.72,1.25,171.45923073199998,0.7271731690622861
BD+45 564 b,9.67,2021,Gas Giant,Radial Velocity,0.83,0.12,1.36,1.21,174.89137032,0.8429842573579739
TOI-269 b,14.37,2021,Neptune-like,Transit,0.0345,0.42,0.027690371302706105,0.247,185.9823051,0.010130047912388775
HIP 90988 b,7.75,2021,Gas Giant,Radial Velocity,1.36,0.08,2.102,1.19,306.70046844399997,1.2476386036960985
HIP 75092 b,7.11,2021,Gas Giant,Radial Velocity,2.02,0.42,1.79,1.2,266.370300576,2.5
HIP 56640 b,7.94,2021,Gas Giant,Radial Velocity,4.55,0.12,6.77,1.13,398.96706543999994,7.3
HIP 114933 b,7.25,2021,Gas Giant,Radial Velocity,2.84,0.21,1.94,1.2,331.91591496,4.1
TOI-257 b,7.57,2021,Gas Giant,Transit,0.1528,0.0,0.138,0.639,250.823096368,0.05037645448323066
NGTS-18 b,14.588,2021,Gas Giant,Transit,0.0448,0.0,0.409,1.21,3575.2894564,0.008487337440109514
NGTS-17 b,14.412,2021,Gas Giant,Transit,0.0391,0.0,0.764,1.24,3392.9356368,0.008761122518822724
NGTS-16 b,14.529,2021,Gas Giant,Transit,0.0523,0.0,0.667,1.3,2929.42882208,0.013141683778234086
NGTS-15 b,14.669,2021,Gas Giant,Transit,0.0441,0.0,0.751,1.1,2565.1680166,0.009034907597535934
LHS 1478 b,13.304,2021,Super Earth,Transit,0.01848,0.07689300021083703,0.007331655129011957,0.11089285714285715,59.45041105599999,0.005201916495550993
HD 5278 c,7.94,2021,Neptune-like,Radial Velocity,0.2416,0.07,0.057898049087476394,0.401,187.815627976,0.11197809719370294
HD 5278 b,7.94,2021,Neptune-like,Transit,0.1202,0.08,0.024543738200125863,0.219,187.815627976,0.03915126625598905
TOI-519 b,17.35,2021,Gas Giant,Transit,0.0159,0.33,0.463,1.03,376.89608892,0.003559206023271732
TOI-201 b,9.07,2021,Gas Giant,Transit,0.3,0.28,0.42,1.008,371.24706699999996,0.14510609171800137
HD 60292 b,6.94657,2020,Gas Giant,Radial Velocity,1.5,0.27,6.5,1.13,1028.07958916,1.356331279945243
HD 112640 b,6.53649,2020,Gas Giant,Radial Velocity,1.7,0.24,5.0,1.15,1054.5765026,1.7
OGLE-2018-BLG-1428L b,12.60683284365942,2021,Gas Giant,Microlensing,3.3,0.07689300021083703,0.77,1.25,20286.903199999997,9.1
OGLE-2017-BLG-1049L b,12.60683284365942,2020,Gas Giant,Microlensing,3.92,0.07689300021083703,5.53,1.14,18493.0452,10.5
GJ 740 b,9.22,2021,Super Earth,Radial Velocity,0.029,0.24,0.009314033983637508,0.13660714285714287,36.208860652,0.006570841889117043
GJ 486 b,11.39,2021,Super Earth,Radial Velocity,0.01713,0.0,0.009439899307740716,0.11991071428571429,26.3346834456,0.004106776180698152
GJ 414 A c,8.31,2021,Gas Giant,Radial Velocity,1.4,0.1,0.16937,0.749,38.777665307999996,2.1
GJ 414 A b,8.31,2021,Neptune-like,Radial Velocity,0.2324,0.45,0.023914411579609815,0.235,38.777665307999996,0.13908281998631075
TOI-640 b,10.51,2021,Gas Giant,Transit,0.06608,0.05,0.88,1.771,1115.44373532,0.013689253935660506
TOI-628 b,10.112,2021,Gas Giant,Transit,0.0486,0.07,6.33,1.06,582.7755407999999,0.009308692676249144
TOI-1601 b,10.66,2021,Gas Giant,Transit,0.069,0.0,1.21764,1.267,1097.8671884799999,0.014510609171800136
TOI-1478 b,10.723,2021,Gas Giant,Transit,0.0903,0.02,0.851,1.06,498.66643151999995,0.02792607802874743
TOI-1333 b,9.438,2021,Gas Giant,Transit,0.0626,0.07,2.37,1.396,653.91668752,0.012867898699520876
NGTS-14 A b,13.268,2021,Neptune-like,Transit,0.0403,0.0,0.09200868470736312,0.444,1050.70503088,0.009582477754962354
HD 238090 b,9.71,2020,Neptune-like,Radial Velocity,0.0932,0.3,0.021680302076777846,0.225,49.691171223999994,0.037508555783709784
GJ 251 b,9.89,2020,Super Earth,Radial Velocity,0.0818,0.1,0.012586532410320955,0.16339285714285717,18.2013638892,0.03887748117727584
HD 183579 b,8.67,2021,Neptune-like,Transit,0.1322,0.06,0.06419131529263687,0.311,186.77355955599998,0.04791238877481177
K2-138 g,12.246,2021,Neptune-like,Transit,0.23109,0.06,0.013593455003146633,0.269,660.7431326,0.11498973305954825
HD 13808 c,8.36,2021,Neptune-like,Radial Velocity,0.2554,0.16,0.03134046570169918,0.279,92.07546957999999,0.14729637234770704
HD 13808 b,8.36,2021,Neptune-like,Radial Velocity,0.10519,0.07,0.035242290748898675,0.299,92.07546957999999,0.03887748117727584
HD 110082 b,9.23,2021,Neptune-like,Transit,0.113,0.2,0.03241032095657646,0.285,342.77690975999997,0.02792607802874743
TYC 0434-04538-1 b,10.247,2021,Gas Giant,Radial Velocity,0.66,0.08,6.1,1.14,2000.71265832,0.528952772073922
HD 96992 b,8.57,2021,Gas Giant,Radial Velocity,1.24,0.41,1.14,1.22,1291.84520792,1.4
HD 4760 b,7.51,2021,Gas Giant,Radial Velocity,1.14,0.23,13.9,1.1,1754.30506188,1.1882272416153319
TOI-178 g,11.955,2021,Neptune-like,Transit,0.1275,0.07689300021083703,0.012397734424166142,0.256,204.49655044,0.056673511293634495
TOI-178 f,11.955,2021,Super Earth,Transit,0.1039,0.07689300021083703,0.024292007551919445,0.20419642857142858,204.49655044,0.04161533196440794
TOI-178 e,11.955,2021,Neptune-like,Transit,0.0783,0.07689300021083703,0.012146003775959723,0.19705357142857144,204.49655044,0.02737850787132101
TOI-178 d,11.955,2021,Neptune-like,Transit,0.0592,0.07689300021083703,0.00947136563876652,0.229,204.49655044,0.018069815195071868
TOI-178 c,11.955,2021,Super Earth,Transit,0.037,0.07689300021083703,0.015009439899307739,0.14901785714285715,204.49655044,0.008761122518822724
TOI-178 b,11.955,2021,Super Earth,Transit,0.02607,0.07689300021083703,0.004719949653870358,0.10285714285714286,204.49655044,0.005201916495550993
NGTS-13 b,12.744,2021,Gas Giant,Transit,0.0549,0.09,4.84,1.142,2112.1699482,0.011225188227241615
HD 110113 c,10.09,2021,Super Earth,Radial Velocity,0.068,0.04,0.03303964757709251,0.18875,346.72665892,0.01834360027378508
HD 110113 b,10.09,2021,Neptune-like,Transit,0.035,0.09,0.014317180616740087,0.18303571428571427,346.72665892,0.006844626967830253
TOI-905 b,11.08,2020,Gas Giant,Transit,0.04666,0.02,0.667,1.171,517.44323244,0.010130047912388775
TOI-564 b,11.097,2020,Gas Giant,Transit,0.02734,0.07,1.463,1.02,650.9454063599999,0.004654346338124572
K2-329 b,12.697,2020,Gas Giant,Transit,0.1016,0.07,0.26,0.774,760.71646972,0.034223134839151265
TOI-451 d,10.939,2020,Neptune-like,Transit,0.1208,0.0,0.049087476400251726,0.363,403.58217284,0.04490075290896646
TOI-451 c,10.939,2020,Neptune-like,Transit,0.0823,0.0,0.030837004405286344,0.277,403.58217284,0.02518822724161533
TOI-451 b,10.939,2020,Super Earth,Transit,0.0283,0.0,0.013561988672120828,0.1705357142857143,403.58217284,0.005201916495550993
HD 108236 f,9.25,2021,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.014852108244178727,0.5114834271703597,210.689600568,1.7022587894645302
HD 108236 e,9.25,2020,Neptune-like,Transit,0.1367,0.06,0.030553807426054125,0.275,210.689600568,0.05366187542778919
HD 108236 d,9.25,2020,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.02196349905601007,0.5114834271703597,210.689600568,1.7022587894645302
HD 108236 c,9.25,2020,Super Earth,Transit,0.062,0.03,0.015544367526746383,0.18491071428571432,210.689600568,0.016974674880219028
HD 108236 b,9.25,2020,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.010195091252359975,0.5114834271703597,210.689600568,1.7022587894645302
TOI-776 c,11.536,2020,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.02171176840780365,0.5114834271703597,88.616911356,1.7022587894645302
TOI-776 b,11.536,2020,Super Earth,Transit,0.0653,0.05,0.015733165512901194,0.1605357142857143,88.616911356,0.02245037645448323
TOI-561 e,10.252,2020,Super Earth,Transit,0.328,0.08,0.03964757709251101,0.22767857142857142,279.83858644000003,0.2108145106091718
TOI-561 d,10.252,2020,Super Earth,Transit,0.158,0.12,0.04153555695405915,0.2517857142857143,279.83858644000003,0.07036276522929501
TOI-561 c,10.252,2020,Neptune-like,Transit,0.0884,0.03,0.016960352422907488,0.26,279.83858644000003,0.029568788501026694
TOI-561 b,10.252,2020,Super Earth,Transit,0.0106,0.0,0.006293266205160478,0.12723214285714288,279.83858644000003,0.0010951403148528405
HAT-P-68 b,13.802,2020,Gas Giant,Transit,0.02996,0.041,0.724,1.072,659.33087712,0.006297056810403832
WASP-187 b,10.295,2020,Gas Giant,Transit,0.0653,0.0,0.8,1.64,1211.3890458399999,0.013963039014373716
WASP-186 b,10.81,2020,Gas Giant,Transit,0.06,0.33,4.22,1.11,908.39012184,0.013689253935660506
WASP-107 c,11.592,2020,Gas Giant,Radial Velocity,15.25358028598593,0.28,0.36,1.18,211.157960584,3.0
TOI-942 c,11.982,2020,Neptune-like,Transit,0.08598,0.32,0.11642542479546884,0.417,497.71731755999997,0.02792607802874743
TOI-942 b,11.982,2020,Neptune-like,Transit,0.04866,0.34,2.6,0.347,497.71731755999997,0.011772758384668035
TOI-892 b,11.43,2020,Gas Giant,Transit,0.092,0.125,0.95,1.07,1110.70142708,0.02902121834360027
TOI-481 b,9.972,2020,Gas Giant,Transit,0.097,0.15,1.53,0.99,585.01297096,0.028199863107460647
TOI-251 b,9.887,2021,Neptune-like,Transit,0.05741,0.0,1.3748344376203327,0.244,324.60023587999996,0.013415468856947298
